Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Rell,8,18,90%,8,0,100%,9.6,4.8,30:33,5.0,209,330,-6.5,-115,-240
Vi,5,18,79%,2,3,40%,1.8,3.1,29:32,5.5,238,334,3.4,-180,-27
Maokai,9,4,45%,4,5,44%,3.3,3.5,29:59,4.7,300,296,-8.1,-193,-423
Sejuani,11,2,45%,4,7,36%,3.6,9.0,30:18,5.3,253,312,0,-7,223
Volibear,11,1,41%,5,6,45%,3.2,10.0,30:48,5.5,329,343,4,210,77
Jax,3,6,31%,1,2,33%,2.6,8.0,29:46,5.9,317,347,4,-177,97
RekSai,1,7,28%,1,0,100%,4.3,5.6,33:43,4.2,238,300,-25,-482,-1099
Jarvan IV,4,2,21%,2,2,50%,2.5,8.0,30:38,5.1,246,317,5.5,89,178
Ivern,1,3,14%,0,1,0%,5.5,8.3,31:22,4.4,159,322,-26,-410,-712
Xin Zhao,2,1,10%,1,1,50%,2.1,8.0,27:52,6.3,408,340,16,375,504
Nocturne,1,0,3%,0,1,0%,3.3,-,26:27,6.4,389,357,17,859,1337
Rengar,1,0,3%,0,1,0%,1.8,-,28:06,7.2,345,356,0,162,-239
Viego,1,0,3%,1,0,100%,-,-,25:03,8.1,580,490,32,611,1254